#designation	ra	dec	w1	w1_err	h	h_err	k	k_err	Halpha_type	objtype_Hou	objtype_SIMBAD
J041834.98+292630.0	64.64575	29.441684	15.062	0.040	15.041	0.072	14.988	0.102	VI	CBe	-
J040550.53+290743.8	61.460576	29.128838	15.857	0.055	16.046	0.202	15.931	-	VI	CBe	-
J041421.40+322210.0	63.589178	32.369447	15.358	0.042	15.358	0.084	15.400	0.135	VI	CBe	-
J041549.66+322351.2	63.956933	32.397583	15.111	0.038	15.314	0.079	15.305	0.129	VI	CBe	-
J041700.73+321848.6	64.253045	32.313519	15.020	0.038	15.183	0.076	14.988	0.089	VI	CBe	-
J052330.01+282824.6	80.87507	28.473525	13.645	0.028	13.845	0.027	13.710	0.034	VI	CBe	-
J052452.48+284917.9	81.21869	28.821639	15.368	0.047	15.662	0.102	15.433	0.132	VI	CBe	-
J052112.58+275838.4	80.302422	27.97735	15.014	0.039	15.222	0.068	15.161	0.098	VI	CBe	-
J052956.66+271328.2	82.486113	27.224505	15.095	0.040	15.303	0.084	15.332	0.125	VI	CBe	-
J052404.24+310117.8	81.017678	31.021637	14.431	0.032	14.856	0.064	14.608	0.092	VI	CBe	-
J053051.31+295319.7	82.71382	29.88882	13.937	0.029	14.231	0.042	14.080	0.052	VI	CBe	-
J051542.08+302007.4	78.925367	30.335392	15.448	0.049	15.360	0.127	15.308	-	VI	CBe	-
J071605.65+274155.7	109.02357	27.698832	16.380	0.071	15.853	-	16.077	-	VI	CBe	-
J060629.77+282814.2	91.624082	28.470626	14.569	0.033	14.943	0.065	14.750	0.073	VI	CBe	-
J060048.58+293636.9	90.202435	29.610275	15.239	0.041	15.231	0.089	15.265	0.142	VI	CBe	-
J060347.81+290119.5	90.949243	29.0221	15.576	0.051	15.638	0.115	15.527	0.165	VI	CBe	-
J055022.49+302444.6	87.593726	30.412397	14.871	0.035	14.952	0.078	14.982	0.117	VI	CBe	-
